id,type,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw
234,R,145,10.31,188,7.85,78.86,7.72,126.54,7.13,53.64,8.88
235,R,57.41,3.82,70.39,3.08,39.7,3.37,66.58,3.33,46.81,2.78
236,R,50.78,3.15,62.89,2.69,36.32,2.84,62.53,2.75,44.08,2.61
237,R,119.12,7.57,137.37,6.06,75.53,6.35,115.02,6.22,60.99,7.91
238,R,117.43,7.13,136.26,5.51,75.54,5.85,115.3,5.45,59.45,8.25
239,R,116.85,7.43,134.8,6.19,73.51,6.1,112.66,5.94,61.25,6.9
240,R,119.58,8.04,138.39,6.25,76.36,6.5,115.9,6.07,59.9,6.92
241,R,126.88,8.01,148.47,6.59,81.42,6.71,124.05,6.58,64.57,7.97
242,R,47.16,2.82,55.41,2.37,34.58,2.47,53.22,2.29,33.77,2.51
243,R,44.91,2.54,48.45,2.14,34.87,2.48,50.87,2.27,29.8,2.7
244,R,61.6,3.42,66.26,2.59,37.04,2.84,63.03,2.87,44.51,2.43
245,R,94.03,5.88,104.09,4.32,56.76,4.98,96.6,4.87,68.65,4.4
246,R,90.13,5.92,104.28,4.4,54.55,4.65,94.99,4.42,67.55,4.14
247,R,100.29,6.33,112.19,4.69,59.71,4.94,102.54,5.33,71.03,4.95
248,R,96.46,5.71,111.85,4.2,59.82,4.65,99.16,4.56,73.95,4.29
249,R,93.37,5.33,102.65,3.9,58.55,4.62,101.24,4.57,71.3,4.38
250,R,99.69,6.09,111,4.26,60.84,4.75,104.72,4.92,71.23,4.21
251,R,34.84,2.44,40.68,2.04,38.43,2.54,42.48,2.45,20.07,3.15
252,R,33.12,2.4,39.85,1.8,27.46,2.19,38.99,2.15,19.1,2.89
253,R,35.63,2.4,42.67,2.02,28.51,2.41,42.64,2.46,21.05,3.12
254,P,29.26,2.66,27.63,2.23,27.87,2.03,38.9,1.81,25.22,1.62
255,P,30.6,2.45,25.9,1.87,32.36,2.1,50.25,1.88,33.58,1.88
256,P,30.25,2.29,25.14,1.87,31.61,2.18,50.98,2,33.5,1.93
257,P,42.52,2.99,36.73,2.91,52.24,3.81,81.57,3.71,61.27,2.71
258,P,45.6,3.35,38.73,3.52,54.45,4.1,83.59,3.72,63.91,2.67
259,P,43.97,3.54,38.38,3.14,52.49,4.25,83.15,4.12,61.08,3.04
260,P,46.38,3.41,39.8,3.48,54.67,4.08,85.88,4.04,63.75,3.09
261,P,45.57,4.64,57.13,2.93,28.32,2.26,36.95,1.96,19.75,2.16
262,P,33.81,2.8,42.82,2.22,18.88,1.45,26.28,1.31,14.45,1.29
263,P,31.72,2.64,40,1.99,20.36,1.59,32.21,1.62,17.72,1.52
264,P,9.85,2.88,14.73,1.73,16.27,1.22,20.89,1.25,7.77,1.23
265,P,44.47,4.24,55.77,3.43,38.57,3.06,52.8,2.82,18.57,3.6
266,P,18.46,1.79,21.12,1.47,18.83,1.21,26.33,1.05,11.41,1.56
267,P,18.55,2.12,21.08,1.41,18.19,1.3,25.97,1.17,11.26,1.57
268,P,27.57,2.67,31.6,2.12,18.92,1.52,30.42,1.58,12.46,1.46
269,P,27.07,2.66,31.95,1.87,18.8,1.51,26.38,1.33,12.52,1.16
270,P,26.92,2.73,31.54,2.01,19.1,1.59,26.68,1.35,13.21,1.23
271,P,49.12,3.59,60.95,2.99,26.35,2,37.29,1.81,10.39,2.03
272,P,48.8,3.78,59.47,3.17,26.14,2.24,36.01,1.63,11.65,2
273,P,47.17,3.96,56.57,2.87,33.6,2.68,50.66,2.49,32.03,2.06
274,P,37.86,3.24,46.72,2.63,27.52,2.26,42.49,1.89,26.88,1.54
275,P,39.98,3.34,47.5,2.64,28.57,2.53,42.96,2.2,27.66,1.67
276,P,44.18,3.88,50.72,3.49,39.58,3.9,50.89,3.61,35.14,2.82
277,P,41.36,3.52,49.34,2.83,30.97,2.46,44.31,2.43,29.97,2.05
278,P,41.66,3.56,48.82,2.8,31.94,2.52,46.19,2.31,30.73,1.95
279,P,31.28,2.83,36.88,2.2,22.3,2.1,32.6,1.68,20.47,1.54
280,P,34.07,3.26,41.34,2.62,24.25,2.3,36.35,2.13,24.69,2.12
281,P,33.79,3.04,42.13,2.56,23.09,2.21,34.74,2.07,22.12,1.78
